CHƯƠNG VIII: ĐƯỜNG TRÒN NGOẠI TIẾP VÀ ĐƯỜNG TRÒN NỘI TIẾP.,,,,,
"BÀI HỌC
(LESSON)",LO - ID,"TÊN KỸ NĂNG
(LEARNING OBJECT TITLE)","MỨC ĐỘ TƯ DUY
(COGNITIVE LEVEL)","NỘI DUNG
(DESCRIPTION)","MỤC TIÊU
(OBJECTIVE)"
Bài 1: Đường tròn ngoại tiếp tam giác. Đường tròn nội tiếp tam giác.,LO-C8-01,Xác định tâm và tính bán kính đường tròn ngoại tiếp tam giác.,Thông hiểu,Cách xác định đường tròn ngoại tiếp tam giác.,"Nhận biết được định nghĩa đường tròn ngoại tiếp tam giác.
Xác định được tâm và bán kính đường tròn ngoại tiếp tam giác (đặc biệt: tam giác vuông, tam giác đều)."
,LO-C8-02,Xác định tâm và tính bán kính đường tròn nội tiếp tam giác.,Thông hiểu,Cách xác định đường tròn nội tiếp tam giác.,"Nhận biết được định nghĩa đường tròn nội tiếp tam giác.
Xác định được tâm và bán kính đường tròn nội tiếp tam giác (tam giác đều)."
,LO-C8-03,"Bài toán liên quan đến đường tròn nội tiếp, ngoại tiếp tam giác.",Vận dụng cao,"Sử dụng các tính chất của đường tròn nội tiếp, ngoại tiếp tam giác để giải quyết bài toán.",Liên hệ được các tính chất để chứng minh bài toán.
Bài 2: Tứ giác nội tiếp đường tròn.,LO-C8-04,Tính góc của tứ giác nội tiếp đường tròn,Thông hiểu,Tứ giác nội tiếp có tổng 2 góc đối nhau bằng 180 độ.,Tính được các góc trong tứ giác nội tiếp.
,LO-C8-05,"Tứ giác nội tiếp.
Định lí về tổng hai góc đối của tứ giác nội tiếp bằng 180 độ.",Thông hiểu,"Định nghĩa tứ giác nội tiếp.
Các bước chứng minh tứ giác nội tiếp.",Nhận biết được tứ giác nội tiếp đường tròn và giải thích được định lí về tổng hai góc đối của tứ giác nội tiếp bằng 180 độ.
,LO-C8-06,"Tâm, bán kính đường tròn ngoại tiếp hình chữ nhật, hình vuông.",Vận dụng,"Định nghĩa tâm và bán kính của đường tròn ngoại tiếp hình chữ nhật, hình vuông.","Xác định được tâm và bán kính đường tròn ngoại tiếp hình chữ nhật, hình vuông."
,LO-C8-07,Ứng dụng thực tế.,Vận dụng,"Chuyển bài toán thực tế thành các đại lượng toán học, sử dụng công thức tính theo yêu cầu đề bài.","Giải quyết được một số vấn đề thực tiễn gắn với đường tròn (ví dụ: một số bài toán liên quan đến chuyển động tròn trong Vật lí; tính được diện tích một số hình phẳng có thể đưa về những hình phẳng gắn với hình tròn, chẳng hạn hình viên phân,...)."