learning_object,question_text,suggested_solution,difficulty
LO-00003,Một dung dịch chứa 40% muối. Nếu đổ thêm 200g nước vào dung dịch thì được một dung dịch mới có nồng độ 20%. Tính khối lượng của dung dịch ban đầu.,"Đây là bài toán về nồng độ dung dịch. Đại lượng không đổi trong quá trình pha loãng là khối lượng muối nguyên chất.  **Lời giải:** - Bước 1: Gọi ẩn và đặt điều kiện.   Gọi khối lượng dung dịch ban đầu là \(x\) (g, \(x > 0\)). - Bước 2: Biểu diễn các đại lượng.   + Khối lượng muối có trong dung dịch ban đầu: \(0.4x\) (g)   + Khối lượng dung dịch lúc sau (sau khi thêm nước): \(x + 200\) (g)   + Khối lượng muối có trong dung dịch lúc sau: \(0.2(x + 200)\) (g) - Bước 3: Lập phương trình.   Vì chỉ thêm nước nên khối lượng muối không đổi:   \(0.4x = 0.2(x + 200)\) - Bước 4: Giải phương trình.   \(0.4x = 0.2x + 40\)   \(\Leftrightarrow 0.2x = 40\)   \(\Leftrightarrow x = \frac{40}{0.2} = 200\) - Bước 5: Đối chiếu và kết luận.   Giá trị \(x=200\) thỏa mãn điều kiện.    Vậy khối lượng dung dịch ban đầu là 200g.",Vận dụng cao
LO-00003,"Hai đội công nhân cùng sửa một đoạn đường thì sau 24 ngày sẽ xong. Mỗi ngày, phần việc đội A làm được nhiều gấp rưỡi đội B. Hỏi nếu làm một mình thì mỗi đội sẽ sửa xong đoạn đường đó trong bao lâu?","Đây là bài toán làm chung - làm riêng kết hợp với mối quan hệ về năng suất.  **Lời giải:** - Bước 1: Gọi ẩn và đặt điều kiện.   Gọi thời gian đội B làm một mình xong việc là \(x\) (ngày, \(x > 24\)). - Bước 2: Biểu diễn các đại lượng.   + Trong 1 ngày, đội B làm được: \(\frac{1}{x}\) (công việc)   + Vì năng suất đội A gấp rưỡi (1.5 lần) đội B, nên trong 1 ngày, đội A làm được: \(1.5 \cdot \frac{1}{x} = \frac{3}{2x}\) (công việc)   + Trong 1 ngày, cả hai đội làm được: \(\frac{1}{24}\) (công việc) - Bước 3: Lập phương trình.   Tổng năng suất của hai đội bằng năng suất chung:   \(\frac{1}{x} + \frac{3}{2x} = \frac{1}{24}\) - Bước 4: Giải phương trình.   \(\frac{2}{2x} + \frac{3}{2x} = \frac{1}{24}\)   \(\Leftrightarrow \frac{5}{2x} = \frac{1}{24}\)   \(\Leftrightarrow 2x = 5 \cdot 24 = 120\)   \(\Leftrightarrow x = 60\) - Bước 5: Đối chiếu và kết luận.   Giá trị \(x=60\) thỏa mãn điều kiện. Vậy đội B làm một mình xong trong 60 ngày.   Thời gian đội A làm một mình xong việc là \(x / 1.5 = 60 / 1.5 = 40\) ngày.    **Đáp số:** Đội A: 40 ngày; Đội B: 60 ngày.",Vận dụng cao
LO-00004,Phương trình nào sau đây là phương trình bậc nhất hai ẩn? A. \(3x^2 + y = 5\) B. \(2x - 5y = 1\) C. \(0x + 0y = 0\) D. \(x + y + z = 10\),"Phương trình bậc nhất hai ẩn có dạng tổng quát là \(ax + by = c\), trong đó \(a, b, c\) là các số đã biết, với điều kiện \(a\) và \(b\) không đồng thời bằng 0.  **Lời giải:** - Phương án A sai vì có chứa \(x^2\) (bậc hai). - Phương án B có dạng \(ax + by = c\) với \(a=2, b=-5, c=1\) (thỏa mãn). - Phương án C sai vì \(a=0\) và \(b=0\). - Phương án D sai vì là phương trình bậc nhất ba ẩn.  **Đáp án đúng là B.**",Nhận biết
LO-00004,Cặp số \((2; -1)\) có phải là một nghiệm của phương trình \(3x + 2y = 4\) không?,"Để kiểm tra một cặp số có phải là nghiệm của phương trình hay không, ta thay các giá trị của cặp số đó vào hai vế của phương trình và so sánh kết quả.  **Lời giải:** - Bước 1: Thay \(x = 2\) và \(y = -1\) vào vế trái của phương trình: \(3x + 2y\). - Bước 2: Tính giá trị: \(3(2) + 2(-1) = 6 - 2 = 4\). - Bước 3: So sánh kết quả với vế phải. Ta thấy vế trái (4) bằng vế phải (4).  Vậy cặp số \((2; -1)\) là một nghiệm của phương trình.",Nhận biết
LO-00004,"Trong phương trình \(x - 7y = 12\), hãy xác định các hệ số \(a, b, c\).","Phương trình bậc nhất hai ẩn có dạng tổng quát là \(ax + by = c\). Ta cần đối chiếu phương trình đã cho với dạng tổng quát.  **Lời giải:** - Phương trình đã cho: \(x - 7y = 12\) có thể viết lại là \(1 \cdot x + (-7) \cdot y = 12\). - So sánh với dạng \(ax + by = c\), ta có:   + Hệ số của \(x\) là \(a = 1\).   + Hệ số của \(y\) là \(b = -7\).   + Hằng số tự do là \(c = 12\).",Nhận biết
LO-00004,Phương trình \(y = 5x - 3\) có phải là phương trình bậc nhất hai ẩn không? Vì sao?,"Ta cần kiểm tra xem phương trình đã cho có thể đưa về dạng \(ax + by = c\) hay không.  **Lời giải:** - Bước 1: Chuyển các hạng tử chứa ẩn về một vế và hằng số về vế còn lại.   \(y = 5x - 3 \Leftrightarrow 5x - y = 3\). - Bước 2: So sánh với dạng tổng quát.   Phương trình \(5x - y = 3\) có dạng \(ax + by = c\) với \(a=5, b=-1, c=3\). Các hệ số \(a, b\) không đồng thời bằng 0.  Vậy \(y = 5x - 3\) là một phương trình bậc nhất hai ẩn.",Thông hiểu
LO-00004,Cặp số nào sau đây là một nghiệm của phương trình \(x - 2y = 5\)? A. \((1; -2)\) B. \((2; 1)\) C. \((5; 0)\) D. \((0; 5)\),"Ta lần lượt thay tọa độ của từng cặp số vào phương trình để kiểm tra.  **Lời giải:** - A. Với \((1; -2)\): \(1 - 2(-2) = 1 + 4 = 5\). (Đúng) - B. Với \((2; 1)\): \(2 - 2(1) = 2 - 2 = 0 \ne 5\). (Sai) - C. Với \((5; 0)\): \(5 - 2(0) = 5\). (Đúng) - D. Với \((0; 5)\): \(0 - 2(5) = -10 \ne 5\). (Sai)  *Lưu ý: Câu hỏi có thể có nhiều đáp án đúng. Trong trường hợp này, cả A và C đều là nghiệm.*  **Nếu chọn một đáp án, ta chọn A.**",Thông hiểu
LO-00004,Tìm \(y_0\) để cặp số \((-3; y_0)\) là một nghiệm của phương trình \(2x - 3y = 9\).,"Vì \((-3; y_0)\) là một nghiệm của phương trình nên khi thay \(x = -3\) và \(y = y_0\) vào phương trình, ta phải được một đẳng thức đúng.  **Lời giải:** - Bước 1: Thay \(x = -3\) và \(y = y_0\) vào phương trình:   \(2(-3) - 3y_0 = 9\) - Bước 2: Giải phương trình tìm \(y_0\).   \(-6 - 3y_0 = 9\)   \(\Leftrightarrow -3y_0 = 15\)   \(\Leftrightarrow y_0 = -5\)  Vậy \(y_0 = -5\).",Thông hiểu
LO-00004,Viết một phương trình bậc nhất hai ẩn có nghiệm là cặp số \((1; 1)\).,"Ta có thể chọn các hệ số \(a, b\) bất kỳ (không đồng thời bằng 0), sau đó tính \(c\) bằng cách thay \(x=1, y=1\) vào.  **Lời giải:** - Bước 1: Chọn \(a=2, b=3\). - Bước 2: Thay \(x=1, y=1\) vào biểu thức \(ax+by\) để tìm \(c\).   \(c = 2(1) + 3(1) = 5\). - Bước 3: Viết phương trình.   Phương trình cần tìm là \(2x + 3y = 5\).  *Lưu ý: Có vô số phương trình thỏa mãn yêu cầu. Ví dụ khác: \(x-y=0\), \(4x+y=5\),...*",Thông hiểu
LO-00004,Phương trình \(mx + 2y = 5\) nhận cặp số \((1; -2)\) làm nghiệm. Tìm giá trị của tham số \(m\).,"Vì phương trình nhận cặp số đã cho làm nghiệm, ta thay giá trị của \(x\) và \(y\) vào phương trình để tìm \(m\).  **Lời giải:** - Bước 1: Thay \(x = 1\) và \(y = -2\) vào phương trình \(mx + 2y = 5\).   \(m(1) + 2(-2) = 5\) - Bước 2: Giải phương trình tìm \(m\).   \(m - 4 = 5\)   \(\Leftrightarrow m = 9\)  Vậy giá trị của tham số \(m\) là 9.",Vận dụng
LO-00004,"An mua \(x\) quyển vở giá 7 nghìn đồng/quyển và \(y\) chiếc bút giá 4 nghìn đồng/chiếc. Tổng số tiền An phải trả là 53 nghìn đồng.  a) Lập phương trình bậc nhất hai ẩn \(x, y\) biểu thị mối quan hệ trên. b) Nếu An mua 3 quyển vở thì An đã mua bao nhiêu chiếc bút?","Đây là bài toán ứng dụng thực tế của phương trình bậc nhất hai ẩn.  **Lời giải:** a) Lập phương trình: - Số tiền mua vở: \(7x\) (nghìn đồng) - Số tiền mua bút: \(4y\) (nghìn đồng) - Tổng số tiền là 53 nghìn đồng, vậy phương trình là: \(7x + 4y = 53\).  b) Tìm số bút: - Nếu An mua 3 quyển vở, tức là \(x=3\). - Thay \(x=3\) vào phương trình: \(7(3) + 4y = 53\). - Giải tìm \(y\): \(21 + 4y = 53 \Leftrightarrow 4y = 32 \Leftrightarrow y = 8\).  Vậy nếu An mua 3 quyển vở thì An đã mua 8 chiếc bút.",Vận dụng
LO-00004,Cho phương trình \((m-1)x + y = 2m\). Tìm \(m\) để phương trình có nghiệm \((x; y)\) sao cho \(x=y\).,"Để phương trình có nghiệm \(x=y\), ta có thể thay \(y\) bằng \(x\) vào phương trình ban đầu để được một phương trình một ẩn theo \(x\).  **Lời giải:** - Bước 1: Thay \(y=x\) vào phương trình đã cho:   \((m-1)x + x = 2m\) - Bước 2: Rút \(x\) ra làm nhân tử chung.   \(x(m-1+1) = 2m\)   \(\Leftrightarrow mx = 2m\) - Bước 3: Biện luận.   + Nếu \(m \ne 0\), phương trình có nghiệm duy nhất \(x = \frac{2m}{m} = 2\). Khi đó \(y=x=2\). Cặp nghiệm là \((2;2)\).   + Nếu \(m = 0\), phương trình trở thành \(0x = 0\), có vô số nghiệm \(x\). Do đó có vô số cặp nghiệm \((x;x)\).  *Kết luận tùy theo yêu cầu câu hỏi. Nếu hỏi 'tìm m để có nghiệm thỏa mãn', thì mọi giá trị của m đều thỏa mãn.*",Vận dụng cao
LO-00005,"Tập nghiệm của phương trình bậc nhất hai ẩn \(ax + by = c\) (với \(a, b\) không đồng thời bằng 0) được biểu diễn hình học bởi một đối tượng nào?","Theo định nghĩa trong sách giáo khoa, mỗi nghiệm \((x; y)\) của phương trình bậc nhất hai ẩn là tọa độ của một điểm trên mặt phẳng tọa độ. Tập hợp tất cả các điểm như vậy tạo thành một đường thẳng.  **Lời giải:** - Bước 1: Nhớ lại định nghĩa về biểu diễn hình học tập nghiệm của phương trình bậc nhất hai ẩn. - Bước 2: Kết luận rằng tập hợp các nghiệm này tạo thành một đường thẳng, được gọi là đường thẳng \(ax + by = c\).  **Đáp án:** Một đường thẳng.",Nhận biết
LO-00005,"Để vẽ đường thẳng biểu diễn tập nghiệm của phương trình \(2x - y = 4\), ta cần xác định tối thiểu bao nhiêu điểm thuộc đường thẳng đó?","Theo tiên đề Euclid, qua hai điểm phân biệt, ta vẽ được một và chỉ một đường thẳng.  **Lời giải:** - Bước 1: Nhận biết rằng tập nghiệm của phương trình là một đường thẳng. - Bước 2: Áp dụng kiến thức hình học phẳng cơ bản, để vẽ một đường thẳng, ta cần xác định được vị trí của ít nhất hai điểm phân biệt thuộc đường thẳng đó.  **Đáp án:** Tối thiểu 2 điểm.",Nhận biết
LO-00005,Tìm tọa độ giao điểm của đường thẳng \(d: 3x + 4y = 12\) với trục tung (Oy).,Một điểm nằm trên trục tung (Oy) có hoành độ \(x=0\).  **Lời giải:** - Bước 1: Cho \(x=0\) vào phương trình đường thẳng \(d\).   \(3(0) + 4y = 12\) - Bước 2: Giải phương trình tìm \(y\).   \(4y = 12 \Leftrightarrow y = 3\)  Vậy giao điểm của đường thẳng \(d\) với trục tung là điểm có tọa độ \((0; 3)\).,Thông hiểu
LO-00005,Hãy mô tả đặc điểm của đường thẳng biểu diễn tập nghiệm của phương trình \(0x + 5y = -10\).,Ta cần rút gọn phương trình để nhận dạng đường thẳng.  **Lời giải:** - Bước 1: Rút gọn phương trình.   \(0x + 5y = -10 \Leftrightarrow 5y = -10 \Leftrightarrow y = -2\). - Bước 2: Mô tả đường thẳng.   Đường thẳng \(y = -2\) là đường thẳng đi qua điểm có tung độ -2 trên trục Oy và song song với trục hoành Ox.  **Đáp án:** Là một đường thẳng song song với trục Ox và cắt trục Oy tại điểm có tung độ -2.,Thông hiểu
LO-00005,Điểm \(M(-2; 1)\) có thuộc đường thẳng biểu diễn tập nghiệm của phương trình \(3x - y = 7\) không? Vì sao?,"Để kiểm tra, ta thay tọa độ của điểm M vào phương trình. Nếu được một đẳng thức đúng thì điểm M thuộc đường thẳng, ngược lại thì không.  **Lời giải:** - Bước 1: Thay \(x = -2\) và \(y = 1\) vào vế trái của phương trình:   \(3(-2) - 1 = -6 - 1 = -7\). - Bước 2: So sánh kết quả với vế phải.   Vế trái bằng -7, vế phải bằng 7. Vì \(-7 \ne 7\), nên đẳng thức sai.  Vậy điểm \(M(-2; 1)\) không thuộc đường thẳng đã cho.",Thông hiểu
LO-00005,Tìm giá trị của tham số \(m\) để đường thẳng biểu diễn tập nghiệm của phương trình \(2x - my = 4\) đi qua điểm \(A(3; 1)\).,"Vì đường thẳng đi qua điểm A nên tọa độ của A phải thỏa mãn phương trình của đường thẳng.  **Lời giải:** - Bước 1: Thay tọa độ điểm \(A(3; 1)\), tức là \(x=3\) và \(y=1\), vào phương trình:   \(2(3) - m(1) = 4\) - Bước 2: Giải phương trình tìm \(m\).   \(6 - m = 4\)   \(\Leftrightarrow m = 6 - 4\)   \(\Leftrightarrow m = 2\)  Vậy giá trị cần tìm là \(m=2\).",Vận dụng
LO-00005,"Tính diện tích của tam giác được tạo bởi đường thẳng \(d: x + 2y = 6\) và hai trục tọa độ Ox, Oy.",Tam giác tạo bởi đường thẳng và hai trục tọa độ là một tam giác vuông tại gốc tọa độ O. Hai cạnh góc vuông chính là khoảng cách từ O đến các giao điểm của đường thẳng với hai trục.  **Lời giải:** - Bước 1: Tìm giao điểm A của \(d\) với trục Ox (cho \(y=0\)).   \(x + 2(0) = 6 \Leftrightarrow x = 6\). Vậy \(A(6; 0)\). Độ dài đoạn OA là 6. - Bước 2: Tìm giao điểm B của \(d\) với trục Oy (cho \(x=0\)).   \(0 + 2y = 6 \Leftrightarrow y = 3\). Vậy \(B(0; 3)\). Độ dài đoạn OB là 3. - Bước 3: Tính diện tích tam giác vuông OAB.   \(S_{OAB} = \frac{1}{2} OA \cdot OB = \frac{1}{2} \cdot 6 \cdot 3 = 9\) (đơn vị diện tích).  Vậy diện tích tam giác cần tìm là 9.,Vận dụng
LO-00005,Cho đường thẳng \(d: (m-2)x + my = 4\). Tìm \(m\) để đường thẳng \(d\) song song với trục hoành.,"Một đường thẳng song song với trục hoành (Ox) có dạng \(y = k\) với \(k \ne 0\). Phương trình tổng quát của nó là \(0x + by = c\) với \(b \ne 0, c \ne 0\).  **Lời giải:** - Bước 1: Để phương trình \((m-2)x + my = 4\) biểu diễn một đường thẳng song song với Ox, hệ số của \(x\) phải bằng 0 và hệ số của \(y\) phải khác 0.   \(\begin{cases} m-2 = 0 \\ m \ne 0 \end{cases}\) - Bước 2: Giải hệ điều kiện.   \(m-2 = 0 \Leftrightarrow m = 2\).   Giá trị \(m=2\) thỏa mãn điều kiện \(m \ne 0\). - Bước 3: Kiểm tra lại.   Với \(m=2\), phương trình trở thành \(0x + 2y = 4 \Leftrightarrow y=2\). Đây là đường thẳng song song với Ox.  Vậy giá trị cần tìm là \(m=2\).",Vận dụng
LO-00005,Tìm điểm cố định mà họ đường thẳng \(d_m: (m-1)x + (2-m)y = 3\) luôn đi qua với mọi giá trị của \(m\).,"Để tìm điểm cố định, ta cần biến đổi phương trình về dạng \(m \cdot A + B = 0\). Để đẳng thức này đúng với mọi \(m\), ta phải có \(A=0\) và \(B=0\).  **Lời giải:** - Bước 1: Biến đổi phương trình, nhóm các hạng tử chứa \(m\).   \((m-1)x + (2-m)y = 3\)   \(\Leftrightarrow mx - x + 2y - my = 3\)   \(\Leftrightarrow m(x - y) + (-x + 2y - 3) = 0\) - Bước 2: Lập luận.   Để phương trình này đúng với mọi \(m\), các biểu thức trong ngoặc phải đồng thời bằng 0.   \(\begin{cases} x - y = 0 \\ -x + 2y - 3 = 0 \end{cases}\) - Bước 3: Giải hệ phương trình.   Từ \(x-y=0 \Rightarrow x=y\).   Thế vào phương trình thứ hai: \(-x + 2x - 3 = 0 \Leftrightarrow x - 3 = 0 \Leftrightarrow x = 3\).   Vì \(x=y\), nên \(y=3\).  Vậy điểm cố định mà họ đường thẳng luôn đi qua là \(M(3; 3)\).",Vận dụng cao
LO-00005,"Tìm các giá trị nguyên của \(m\) để đường thẳng \(d: 2x + y = m\) cắt hai trục tọa độ tại hai điểm A, B sao cho độ dài đoạn AB bằng \(2\sqrt{5}\).","Ta sẽ tìm tọa độ các giao điểm A, B theo \(m\), sau đó sử dụng định lý Pitago để tính độ dài AB và giải phương trình tìm \(m\).  **Lời giải:** - Bước 1: Tìm tọa độ giao điểm.   + Giao với Ox (cho \(y=0\)): \(2x = m \Rightarrow x = m/2\). Vậy \(A(m/2; 0)\). \(\Rightarrow OA = |m/2|\).   + Giao với Oy (cho \(x=0\)): \(y = m\). Vậy \(B(0; m)\). \(\Rightarrow OB = |m|\).   (Điều kiện để cắt tại 2 điểm phân biệt là \(m \ne 0\)). - Bước 2: Áp dụng định lý Pitago trong tam giác vuông OAB.   \(AB^2 = OA^2 + OB^2\)   \(\Leftrightarrow (2\sqrt{5})^2 = (\frac{m}{2})^2 + m^2\) - Bước 3: Giải phương trình tìm \(m\).   \(20 = \frac{m^2}{4} + m^2\)   \(\Leftrightarrow 20 = \frac{5m^2}{4}\)   \(\Leftrightarrow m^2 = 20 \cdot \frac{4}{5} = 16\)   \(\Leftrightarrow m = 4\) hoặc \(m = -4\). - Bước 4: Kết luận.   Cả hai giá trị \(m=4\) và \(m=-4\) đều là số nguyên.  Vậy các giá trị nguyên của \(m\) cần tìm là \(4\) và \(-4\).",Vận dụng cao
LO-00006,Một cặp số \((x_0; y_0)\) được gọi là một nghiệm của hệ phương trình \(\begin{cases} ax + by = c \\ a'x + b'y = c' \end{cases}\) khi nào?,"Theo định nghĩa, một cặp số là nghiệm của một hệ phương trình khi nó thỏa mãn (là nghiệm đúng) của tất cả các phương trình trong hệ.  **Lời giải:** Một cặp số \((x_0; y_0)\) được gọi là một nghiệm của hệ phương trình khi thay \(x = x_0\) và \(y = y_0\) vào cả hai phương trình của hệ, ta đều được các đẳng thức đúng. Nghĩa là: \(\begin{cases} ax_0 + by_0 = c \\ a'x_0 + b'y_0 = c' \end{cases}\)",Nhận biết
LO-00006,Cặp số \((2; 1)\) có phải là nghiệm của hệ phương trình \(\begin{cases} x + y = 3 \\ 2x - y = 3 \end{cases}\) không?,"Ta cần thay cặp số \((2; 1)\) vào từng phương trình của hệ để kiểm tra.  **Lời giải:** - Thay \(x=2, y=1\) vào phương trình thứ nhất: \(2 + 1 = 3\). (Đúng) - Thay \(x=2, y=1\) vào phương trình thứ hai: \(2(2) - 1 = 4 - 1 = 3\). (Đúng)  Vì cặp số \((2; 1)\) thỏa mãn cả hai phương trình nên nó là một nghiệm của hệ.",Nhận biết
LO-00006,Điền vào chỗ trống: Một cặp số là nghiệm của một hệ phương trình nếu nó là nghiệm của ... các phương trình trong hệ.,"Một cặp số là nghiệm của một hệ phương trình nếu nó là nghiệm của **tất cả** các phương trình trong hệ.  **Lời giải:** Theo định nghĩa, nghiệm của hệ phương trình phải thỏa mãn đồng thời tất cả các phương trình. Do đó, từ cần điền là ""tất cả"" hoặc ""cả hai"".",Thông hiểu
LO-00006,Cho hệ phương trình \(\begin{cases} x - 3y = 2 \\ 2x + y = 11 \end{cases}\). Biết cặp số \((5; y_0)\) là một nghiệm của hệ. Tìm \(y_0\).,"Vì \((5; y_0)\) là nghiệm của hệ, nó phải thỏa mãn cả hai phương trình. Ta có thể thay \(x=5\) vào một trong hai phương trình để tìm \(y_0\) và kiểm tra lại bằng phương trình còn lại.  **Lời giải:** - Thay \(x=5\) vào phương trình thứ hai: \(2(5) + y_0 = 11 \Leftrightarrow 10 + y_0 = 11 \Leftrightarrow y_0 = 1\). - Kiểm tra lại với phương trình thứ nhất: Thay \(x=5, y=1\) vào \(x - 3y\), ta được \(5 - 3(1) = 2\). (Đúng)  Vậy \(y_0 = 1\).",Thông hiểu
LO-00006,Bạn An kiểm tra xem cặp số \((3; -1)\) có phải là nghiệm của hệ \(\begin{cases} 2x + y = 5 \\ x - 2y = 4 \end{cases}\) và kết luận là 'Phải'. Bạn An đã làm đúng chưa? Vì sao?,"Ta cần kiểm tra lại kết luận của bạn An bằng cách thay cặp số vào cả hai phương trình.  **Lời giải:** - Kiểm tra phương trình thứ nhất: Thay \(x=3, y=-1\) vào \(2x+y\), ta được \(2(3) + (-1) = 6 - 1 = 5\). (Đúng) - Kiểm tra phương trình thứ hai: Thay \(x=3, y=-1\) vào \(x-2y\), ta được \(3 - 2(-1) = 3 + 2 = 5\). (Sai, vì vế phải là 4)  Vì cặp số \((3; -1)\) không thỏa mãn phương trình thứ hai, nên nó không phải là nghiệm của hệ. Bạn An đã kết luận sai.",Thông hiểu
LO-00006,Tìm các giá trị của \(a\) và \(b\) để hệ phương trình \(\begin{cases} ax + 2y = 4 \\ x - by = 3 \end{cases}\) có nghiệm là \((2; 1)\).,"Vì \((2; 1)\) là nghiệm của hệ, tọa độ của nó phải thỏa mãn cả hai phương trình. Ta thay \(x=2, y=1\) vào hệ để tạo ra một hệ phương trình mới với hai ẩn là \(a\) và \(b\).  **Lời giải:** - Thay \(x=2, y=1\) vào phương trình thứ nhất:   \(a(2) + 2(1) = 4 \Leftrightarrow 2a + 2 = 4 \Leftrightarrow 2a = 2 \Leftrightarrow a = 1\). - Thay \(x=2, y=1\) vào phương trình thứ hai:   \(2 - b(1) = 3 \Leftrightarrow 2 - b = 3 \Leftrightarrow b = -1\).  Vậy \(a=1\) và \(b=-1\).",Vận dụng
LO-00006,Sắp xếp các bước để kiểm tra xem cặp số \((x_0; y_0)\) có phải là nghiệm của hệ phương trình \(\begin{cases} ax + by = c \\ a'x + b'y = c' \end{cases}\) hay không.,"Đây là quy trình chuẩn để xác định một cặp số có phải là nghiệm của hệ phương trình hay không.  **Lời giải:** Thứ tự đúng của các bước là: 1. Thay \(x = x_0\) và \(y = y_0\) vào vế trái của phương trình thứ nhất. 2. So sánh kết quả với vế phải \(c\). Nếu không bằng, kết luận ngay cặp số không phải là nghiệm. 3. Nếu bằng, tiếp tục thay \(x = x_0\) và \(y = y_0\) vào vế trái của phương trình thứ hai. 4. So sánh kết quả với vế phải \(c'\). Nếu bằng, kết luận cặp số là nghiệm. Nếu không bằng, kết luận cặp số không phải là nghiệm.",Vận dụng
LO-00006,"Để kiểm tra xem cặp số \((1; 4)\) có phải là nghiệm của hệ \(\begin{cases} 3x - y = -1 \\ x + y = 5 \end{cases}\) hay không, ta đã thay \(x=1, y=4\) vào phương trình đầu tiên và thấy \(3(1) - 4 = -1\) (đúng). Bước tiếp theo cần làm là gì?","Sau khi kiểm tra và thấy một phương trình được thỏa mãn, ta bắt buộc phải kiểm tra tiếp phương trình còn lại.  **Lời giải:** Bước tiếp theo là thay \(x=1\) và \(y=4\) vào phương trình thứ hai (\(x+y=5\)) để kiểm tra xem nó có được thỏa mãn hay không. Ta có: \(1 + 4 = 5\) (đúng). Vì cặp số thỏa mãn cả hai phương trình, ta có thể kết luận nó là nghiệm của hệ.",Vận dụng
LO-00006,"Biết hệ phương trình \(\begin{cases} 2x + 3y = 13 \\ 4x - y = 5 \end{cases}\) có nghiệm duy nhất là \((x_0; y_0)\). Không cần giải hệ, hãy tính giá trị của biểu thức \(A = 6x_0 + 2y_0\).","Câu hỏi này kiểm tra sự hiểu biết sâu sắc về ý nghĩa của nghiệm. Ta có thể tạo ra biểu thức \(6x_0 + 2y_0\) bằng cách thực hiện các phép toán trên hai phương trình của hệ.  **Lời giải:** - Vì \((x_0; y_0)\) là nghiệm của hệ, nên ta có:   \(2x_0 + 3y_0 = 13\) (1)   \(4x_0 - y_0 = 5\) (2) - Nhận thấy \(6x_0 + 2y_0 = (2x_0 + 3y_0) + (4x_0 - y_0)\). - Cộng vế theo vế của (1) và (2), ta được:   \((2x_0 + 4x_0) + (3y_0 - y_0) = 13 + 5\)   \(\Leftrightarrow 6x_0 + 2y_0 = 18\)  Vậy giá trị của biểu thức \(A\) là 18.",Vận dụng cao
